Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement
2023,34,0,0,3,0,$71.00 ,1,B,4,335,Medium
2023,35,0,0,2,0,$24.00 ,1,B,12,372,High
2023,36,0,0,4,0,$72.00 ,0,A,26,945,Medium
2023,37,6,0,0,0,$161.33 ,3,E,4,614,Low
2023,38,0,0,2,0,$76.00 ,1,E,12,424,Medium
2023,39,3,0,0,0,$43.00 ,1,C,75,496,High
2023,40,2,0,0,0,$49.00 ,1,A,58,920,Low
2023,41,0,0,2,0,$68.00 ,1,A,10,481,High
2023,42,3,0,0,0,$88.67 ,1,C,1,521,High
2023,43,1,0,0,0,$69.00 ,1,A,88,933,High
2023,44,0,0,4,0,$1.00 ,1,A,6,567,High
2023,45,2,0,0,0,$67.00 ,1,B,73,724,High
2023,46,2,0,0,0,$78.00 ,1,A,17,867,Medium
2023,47,4,0,0,0,$87.50 ,2,A,20,494,Medium
2023,48,4,0,0,0,$83.00 ,1,A,6,788,Low
2023,49,3,0,0,0,$76.00 ,1,A,151,874,Medium
2023,50,0,0,4,0,$16.00 ,1,A,451,605,High
2023,51,4,0,0,0,$74.00 ,1,A,10,435,High
2023,52,2,0,0,0,$94.00 ,1,B,29,459,Medium
2023,53,2,0,0,0,$23.00 ,0,E,75,489,High
2023,54,0,0,3,0,$77.33 ,1,D,2,512,Medium
2023,55,0,0,0,0,$46.00 ,0,E,10,834,Medium
2023,56,0,50,0,0,$129.00 ,8,F,33,299,Low
2023,57,2,0,0,0,$191.00 ,1,A,28,959,Medium
2023,58,0,0,15,0,$52.00 ,1,E,8,680,Medium
2023,59,0,0,2,0,$21.00 ,1,B,22,580,Medium
2023,60,2,0,0,0,$79.00 ,0,D,17,531,Low
2023,61,3,0,0,0,$99.00 ,1,D,73,370,Medium
2023,62,3,0,0,0,$25.00 ,1,A,22,380,Medium
2023,63,2,0,0,0,$8.00 ,1,B,6,947,High
2023,64,0,0,4,0,$79.00 ,1,B,4,873,High
2023,65,2,0,0,0,$360.00 ,1,C,42,328,Medium
2023,66,8,0,0,0,$92.00 ,1,A,2,347,Low
2023,67,2,0,0,0,$95.00 ,1,D,6,636,Medium
2023,68,4,0,0,0,$129.25 ,1,E,2,893,Medium
2023,69,2,0,0,0,$188.00 ,1,A,27,924,High
2023,70,0,0,5,0,$81.00 ,0,E,0,917,Low
2023,71,0,0,2,0,$112.00 ,1,Limited Data,,,Medium
2023,72,3,0,0,0,$48.00 ,1,A,6,918,Medium
2023,73,0,0,2,0,$26.00 ,1,D,9,739,Medium
2023,74,0,0,2,0,$11.00 ,1,A,6,331,Medium
2023,75,2,0,0,0,$132.00 ,1,B,169,630,Medium
2023,76,4,0,0,0,$86.00 ,1,A,34,506,Medium
2023,77,0,0,0,0,$8.00 ,1,D,2,501,Medium
2023,78,0,0,6,0,$81.00 ,1,A,81,544,Medium
2023,79,2,0,0,0,$75.00 ,0,E,2,525,Medium
2023,80,0,0,5,0,$86.00 ,1,A,132,509,Low
2023,81,4,0,0,0,$41.00 ,1,D,7,283,Medium
2023,82,3,0,0,0,$54.00 ,1,B,32,806,High
2023,83,2,0,0,0,$188.00 ,1,A,673,909,High
2023,84,1,0,0,0,$44.00 ,1,A,10,724,Medium
2023,85,3,0,0,0,$33.00 ,1,Limited Data,65,493,High
2023,86,10,0,0,0,$111.00 ,1,F,102,780,High
2023,87,2,0,0,0,$118.00 ,0,B,7,868,High
2023,88,0,0,2,0,$44.00 ,1,A,9,660,High
2023,89,0,0,2,0,$120.00 ,1,C,8,198,High
2023,90,2,0,0,0,$73.00 ,1,B,5,707,High
2023,91,6,0,0,0,$5.00 ,1,A,55,342,Medium
2023,92,0,0,4,0,$36.50 ,1,A,15,897,High
2023,93,2,0,0,0,$12.00 ,1,C,10,423,Medium
2023,94,0,0,40,0,$65.00 ,1,A,91,950,Low
2023,95,2,0,0,0,$136.64 ,1,A,6,481,High
2023,96,0,0,4,0,$15.00 ,2,B,15,862,Low
2023,97,3,0,0,0,$80.00 ,1,C,30,542,Medium
2023,98,1,0,0,0,$181.00 ,1,A,19,517,Medium
2023,99,5,0,4,0,$57.89 ,2,A,17,384,Low
2023,100,0,0,4,0,$28.00 ,1,B,20,293,High
2023,101,3,0,0,0,$181.00 ,1,A,7,807,Medium
2023,102,2,0,0,0,$8.03 ,1,C,633,852,High
2023,103,0,0,2,0,$10.00 ,1,A,15,269,Medium
2023,104,1,0,0,0,$49.00 ,1,A,79,945,Medium
2023,105,0,0,2,0,$55.50 ,1,A,6,249,Low
2023,106,4,0,0,0,$4.00 ,1,E,2,607,Medium
2023,107,0,0,4,0,$56.00 ,1,B,4,287,Low
2023,108,0,0,12,0,$151.00 ,1,B,11,633,Low
2023,109,2,0,0,0,$60.00 ,1,B,454,937,Medium
2023,110,0,0,5,0,$13.00 ,0,B,4,594,Medium
2023,111,0,0,0,0,$273.00 ,2,Limited Data,35,472,Medium
2023,112,1,0,0,0,$244.00 ,1,G,12,543,Medium
2023,113,2,0,0,0,$194.06 ,1,Limited Data,8,628,Medium
2023,114,0,20,0,0,$63.90 ,5,A,10,421,Medium
2023,115,2,0,0,0,$80.00 ,1,A,11,923,Low
2023,116,0,0,2,0,$29.00 ,0,A,45,904,Low
2023,117,0,0,2,0,$79.00 ,1,E,15,489,High
2023,118,2,0,0,0,$195.00 ,1,B,92,335,Medium
2023,119,4,0,0,0,$108.00 ,1,A,8,887,Low
2023,120,8,0,0,0,$124.38 ,1,A,3,248,High
2023,121,3,0,0,0,$41.00 ,1,B,5,553,Medium
2023,122,2,0,0,0,$29.97 ,1,A,4,556,Medium
2023,123,3,0,0,0,$56.00 ,1,A,6,637,High
2023,124,0,0,3,0,$80.00 ,1,D,19,905,Medium
2023,125,0,0,0,0,$26.00 ,0,C,6,949,Medium
2023,126,2,0,0,0,$15.00 ,1,E,4,917,Low
2023,127,0,0,12,0,$57.00 ,1,A,9,924,High
2023,128,0,0,2,0,$1.00 ,1,A,9,590,Low
2023,129,0,0,4,0,$33.00 ,1,D,79,909,Medium
2023,130,1,0,0,0,$153.00 ,1,F,9,952,Medium
2023,131,4,0,0,0,$76.00 ,1,E,1,619,High
2023,132,1,0,0,0,$15.00 ,1,Limited Data,,,Low
2023,133,3,0,0,0,$11.00 ,1,A,9,218,Medium
2023,134,2,0,0,0,$185.50 ,1,Limited Data,44,,High
2023,135,0,20,0,0,$166.60 ,8,F,9,726,Medium
2023,136,4,0,0,0,$34.00 ,1,D,4,308,Medium
2023,137,0,0,0,1,$36.00 ,19,D,2,505,Low
2023,138,0,0,4,0,$52.00 ,1,A,23,468,Low
2023,139,1,0,0,0,$71.00 ,1,A,4,460,Medium
2023,140,3,0,0,0,$70.00 ,1,B,6,195,Low
2023,141,1,0,0,0,$32.00 ,1,A,9,629,High
2023,142,2,0,0,0,$167.00 ,1,F,9,961,Medium
2023,143,2,0,0,0,$63.53 ,1,D,6,446,Medium
2023,144,5,0,0,0,$159.40 ,1,G,33,929,Low
2023,145,0,0,4,0,$54.00 ,1,A,6,442,Medium
2023,146,0,0,2,0,$72.00 ,1,C,78,521,Medium
2023,147,2,0,0,0,$272.00 ,1,A,46,447,High
2023,148,5,0,0,0,$20.00 ,1,A,18,420,Medium
2023,149,1,0,0,0,$73.00 ,1,B,15,886,High
2023,150,2,0,0,0,$116.00 ,1,A,70,894,Low
2023,151,0,0,2,0,$117.00 ,1,B,4,632,High
2023,152,2,0,0,0,$99.00 ,1,B,117,881,Medium
2023,153,1,0,0,0,$27.00 ,1,A,738,740,Low
2023,154,4,0,0,0,$9.25 ,0,A,70,885,Medium
2023,155,2,0,0,0,$312.00 ,2,C,243,963,Medium
2023,156,0,0,2,0,$128.00 ,0,A,33,406,Medium
2023,157,4,0,0,0,$53.00 ,2,B,25,453,Medium
2023,158,0,0,4,0,$25.00 ,1,E,10,615,Medium
2023,159,0,0,13,0,$104.00 ,1,D,83,647,High
2023,160,1,0,0,0,$25.00 ,1,F,64,918,High
2023,161,3,0,0,0,$3.00 ,1,A,4,484,Medium
2023,162,4,0,0,0,$20.00 ,1,A,47,868,Medium
2023,163,4,0,0,0,$85.00 ,1,C,1,794,Medium
2023,164,2,0,0,0,$42.00 ,1,A,35,871,Medium
2023,165,2,0,0,0,$60.00 ,1,A,20,936,Medium
2023,166,4,0,0,0,$6.00 ,1,D,82,476,Medium
2023,167,3,0,0,0,$37.00 ,1,D,13,864,Low
2023,168,0,0,0,0,$5.00 ,1,B,4,711,Medium
2023,169,2,0,0,0,$138.00 ,1,A,73,537,Low
2023,170,0,0,50,0,$40.00 ,1,F,7,892,Medium
2023,171,2,0,0,0,$91.00 ,1,A,86,404,Medium
2023,172,0,0,2,0,$19.00 ,0,A,3,898,Medium
2023,173,8,0,0,0,$20.75 ,1,D,84,703,Medium
2023,174,4,0,0,0,$45.00 ,1,A,12,886,Medium
2023,175,0,0,4,0,$128.00 ,1,C,10,694,Medium
2023,176,0,0,0,1,$329.00 ,0,D,14,509,Medium
2023,177,3,0,0,0,$57.00 ,1,B,7,546,High
2023,178,3,0,0,0,$73.00 ,1,A,4,820,High
2023,179,1,0,0,0,$117.00 ,1,Limited Data,23,504,Low
2023,180,0,0,6,0,$7.00 ,0,A,8,567,Medium
2023,181,0,0,14,0,$33.00 ,1,D,11,366,High
2023,182,2,0,0,0,$55.00 ,1,D,2,715,Medium
2023,183,0,0,10,0,$137.00 ,1,F,34,713,Low
2023,184,4,0,0,0,$152.00 ,1,B,4,340,Low
2023,185,1,0,0,0,$0.00 ,1,B,158,937,Medium
2023,186,2,0,0,0,$82.00 ,1,D,15,531,Medium
2023,187,3,0,0,0,$125.00 ,1,D,77,333,High
2023,188,4,0,0,0,$49.00 ,1,B,13,812,High
2023,189,4,0,0,0,$55.00 ,1,C,3,539,Medium
2023,190,0,0,2,0,$45.00 ,1,E,2,373,Medium
2023,191,2,0,0,0,$73.00 ,1,A,29,442,Low
2023,192,0,45,0,0,$81.56 ,8,G,7,413,Medium
2023,193,2,0,0,0,$14.55 ,1,A,2,469,Medium
2023,194,0,0,0,0,$12.00 ,1,D,6,373,Medium
2023,195,2,0,0,0,$80.00 ,1,B,3,285,High
2023,196,0,0,1,0,$21.00 ,0,A,6,448,High
2023,197,1,0,0,0,$122.00 ,1,A,103,937,High
2023,198,4,0,0,0,$100.00 ,1,C,1,878,High
2023,199,0,0,6,0,$56.00 ,1,F,81,963,Medium
2023,200,2,0,0,0,$10.00 ,1,D,22,251,Low
2023,201,0,0,6,0,$146.33 ,2,D,78,912,High
2023,202,5,0,0,0,$140.00 ,1,D,28,931,High
2023,203,3,0,0,0,$26.00 ,1,C,1226,930,Low
2023,204,2,0,0,0,$62.00 ,1,B,68,863,Medium
2023,205,0,0,2,0,$33.00 ,0,A,2,932,Medium
2023,206,1,0,0,0,$42.00 ,1,D,13,898,Medium
2023,207,0,0,5,0,$45.00 ,1,A,15,414,Low
2023,208,0,0,3,0,$25.67 ,1,A,60,277,Medium
2023,209,0,0,4,0,$17.25 ,1,C,6,432,Low
2023,210,4,0,0,0,$56.00 ,1,A,145,440,High
2023,211,0,0,3,0,$75.00 ,1,A,2,313,Low
2023,212,2,0,0,0,$29.00 ,1,A,47,441,Low
2023,213,1,0,0,0,$9.16 ,1,D,7,851,Medium
2023,214,2,0,0,0,$20.00 ,1,F,33,940,High
2023,215,3,0,0,0,$272.00 ,1,D,7,705,Low
2023,216,4,0,0,0,$65.00 ,2,A,8,750,Low
2023,217,3,0,0,0,$22.00 ,0,D,3,475,Medium
2023,218,1,0,0,0,$74.00 ,0,B,62,329,Medium
2023,219,0,0,1,0,$105.00 ,0,A,5,316,High
2023,220,4,0,0,0,$15.00 ,0,D,1,271,Medium
2023,221,0,0,3,0,$33.00 ,1,D,4,767,Medium
2023,222,0,0,5,0,$51.00 ,1,B,6,532,High
2023,223,2,0,0,0,$44.00 ,1,A,27,828,Medium
2023,224,0,0,2,0,$76.00 ,1,D,4,395,Low
2023,225,4,0,0,0,$68.00 ,1,C,10,277,Low
2023,226,0,0,2,0,$24.00 ,1,Limited Data,20,598,High
2023,227,3,0,0,0,$46.00 ,1,A,74,567,High
2023,228,3,0,0,0,$87.00 ,1,A,6,297,Medium
2023,229,3,0,0,0,$80.00 ,1,E,49,937,Medium
2023,230,0,0,3,0,$7.00 ,1,A,4,561,Low
2023,231,2,0,0,0,$110.00 ,1,D,15,513,Low
2023,232,0,0,2,0,$134.00 ,1,A,9,200,Medium
2023,233,1,0,0,0,$14.00 ,1,C,19,905,Medium
2023,234,0,0,0,0,$37.00 ,0,A,6,967,Low
2023,235,0,0,3,0,$33.00 ,1,B,33,893,Low
2023,236,0,0,4,0,$64.00 ,1,E,81,759,Low
2023,237,2,0,0,0,$153.00 ,1,E,4,933,Low
2023,238,2,0,0,0,$233.00 ,1,A,12,274,High
2023,239,0,0,5,0,$75.00 ,1,D,34,675,Medium
2023,240,2,0,0,0,$130.00 ,1,B,29,216,Medium
2023,241,2,0,0,0,$83.00 ,1,D,6,397,High
2023,242,0,0,2,0,$5.00 ,1,A,34,548,Medium
2023,243,8,0,0,0,$30.13 ,1,A,65,411,Medium
2023,244,2,0,0,0,$80.00 ,0,A,26,322,High
2023,245,2,0,0,0,$42.00 ,1,E,6,951,Medium
2023,246,0,20,0,0,$92.70 ,8,A,12,507,Medium
2023,247,0,0,4,0,$116.00 ,1,A,35,332,Low
2023,248,0,0,4,0,$119.00 ,1,B,95,530,High
2023,249,0,0,3,0,$30.00 ,0,A,4,390,Low
2023,250,0,0,1,0,$102.00 ,1,A,12,533,Medium
2023,251,4,0,0,0,$111.00 ,1,Limited Data,13,496,Medium
2023,252,0,0,3,0,$3.00 ,1,B,24,387,Low
2023,253,0,0,2,0,$66.00 ,1,A,53,419,Low
2023,254,0,0,2,0,$18.00 ,1,C,2,546,Medium
2023,255,0,0,2,0,$76.00 ,1,B,43,393,Medium
2023,256,5,0,0,0,$128.00 ,1,A,9,459,Medium
2023,257,0,0,2,0,$77.00 ,1,A,7,765,High
2023,258,4,0,0,0,$37.00 ,1,A,55,378,High
2023,259,0,0,3,0,$45.00 ,1,A,12,572,Low
2023,260,4,0,0,0,$52.00 ,1,B,20,611,Medium
2023,261,0,0,0,0,$557.00 ,1,A,19,502,Low
2023,262,0,0,4,0,$56.00 ,1,A,6,292,Medium
2023,263,4,0,0,0,$82.50 ,0,A,79,944,Medium
2023,264,2,0,0,0,$50.00 ,1,C,13,880,Low
2023,265,0,0,0,0,$13.00 ,1,D,26,877,Medium
2023,266,0,0,4,0,$70.00 ,1,A,20,217,Medium
2023,267,2,0,0,0,$24.00 ,1,D,20,928,Medium
2023,268,0,0,4,0,$115.00 ,1,B,7,878,Medium
2023,269,4,0,0,0,$74.00 ,1,A,9,362,Low
2023,270,0,0,2,0,$13.00 ,1,C,1,879,Medium
2023,271,0,0,5,0,$20.00 ,1,A,4,254,Low
2023,272,2,0,0,0,$148.00 ,1,A,44,379,Medium
2023,273,3,0,0,0,$12.00 ,1,A,27,261,Low
2023,274,2,0,0,0,$178.00 ,1,A,77,531,High
2023,275,2,0,0,0,$57.00 ,1,D,2,765,Low
2023,276,0,0,3,0,$77.00 ,1,Limited Data,,,Medium
2023,277,0,0,5,0,$53.00 ,1,A,11,660,Medium
2023,278,1,0,0,0,$46.00 ,1,B,30,918,Medium
2023,279,0,0,3,0,$15.33 ,0,B,10,316,Medium
2023,280,2,0,0,0,$57.00 ,1,E,58,566,Medium
2023,281,4,0,0,0,$18.00 ,0,A,9,526,Medium
2023,282,2,0,0,0,$18.00 ,1,D,74,856,Medium
2023,283,2,0,0,0,$53.00 ,0,A,9,633,High
2023,284,0,0,5,0,$46.60 ,1,A,34,466,Low
2023,285,0,0,5,0,$18.00 ,1,B,39,458,Medium
2023,286,1,0,0,0,$31.00 ,1,C,51,931,High
2023,287,0,0,3,0,$83.00 ,1,A,30,654,High
2023,288,1,0,0,0,$117.00 ,1,A,76,404,Medium
2023,289,3,0,0,0,$101.00 ,1,C,85,944,Medium
2023,290,3,0,0,0,$158.00 ,1,B,6,349,Medium
2023,291,1,0,0,0,$116.00 ,1,A,23,592,Medium
2023,292,2,0,0,0,$88.00 ,1,C,1686,528,High
2023,293,2,0,0,0,$13.00 ,1,B,4,915,High
2023,294,2,0,0,0,$5.00 ,1,A,64,809,Low
2023,295,3,0,0,0,$106.00 ,1,D,0,705,Medium
2023,296,3,0,0,0,$82.00 ,1,G,19,540,Low
2023,297,2,0,0,0,$53.00 ,1,C,92,532,Low
2023,298,3,0,0,0,$86.00 ,1,A,128,748,High
2023,299,3,0,0,0,$165.00 ,1,D,1735,927,Medium
2023,300,0,0,8,0,$68.00 ,1,A,30,511,Low
2023,301,2,0,0,0,$77.00 ,0,A,5,420,Medium
2023,302,0,4,2,0,$42.67 ,3,B,383,751,Low
2023,303,3,0,0,0,$113.00 ,1,A,15,581,Medium
2023,304,0,0,4,0,$58.00 ,1,A,10,786,Medium
2023,305,1,0,0,0,$125.00 ,1,B,70,396,Low
2023,306,3,0,0,0,$99.00 ,1,D,2,921,Low
2023,307,1,0,0,0,$45.00 ,1,D,3,457,Medium
2023,308,3,0,0,0,$49.00 ,1,D,85,901,Medium
2023,309,0,0,4,0,$62.00 ,1,A,15,829,Low
2023,310,0,0,2,0,$68.50 ,1,B,6,546,Medium
2023,311,3,0,0,0,$97.00 ,1,F,58,947,High
2023,312,2,0,0,0,$142.00 ,1,B,29,276,High
2023,313,4,0,0,0,$40.00 ,1,D,106,853,High
2023,314,4,0,0,0,$66.00 ,1,A,150,582,Medium
2023,315,0,0,1,0,$50.00 ,1,B,41,612,Medium
2023,316,5,0,0,0,$50.00 ,1,D,74,550,Medium
2023,317,4,0,0,0,$77.00 ,1,A,26,740,Low
2023,318,0,0,0,1,$84.00 ,33,G,66,950,Medium
2023,319,0,0,0,0,$33.00 ,1,C,2,543,Medium
2023,320,0,0,4,0,$35.00 ,1,A,79,514,Medium
2023,321,2,0,0,0,$63.00 ,1,D,29,499,Medium
2023,322,4,0,0,0,$0.25 ,1,F,10,935,Low
2023,323,2,0,0,0,$9.00 ,1,B,22,553,Low
2023,324,3,0,0,0,$17.00 ,1,Limited Data,45,,Medium
2023,325,0,0,5,0,$30.00 ,1,E,20,400,Medium
2023,326,2,0,0,0,$193.00 ,1,A,27,306,Medium
2023,327,4,0,0,0,$75.00 ,1,A,22,312,Low
2023,328,0,0,2,0,$48.00 ,1,Limited Data,74,,Medium
2023,329,3,0,0,0,$130.00 ,1,A,3,953,Medium
2023,330,0,4,0,0,$25.00 ,1,B,6,440,Medium
2023,331,3,0,0,0,$131.00 ,1,A,33,426,High
2023,332,1,0,0,0,$444.00 ,1,E,23,877,Medium
2023,333,0,0,2,0,$59.00 ,1,B,54,437,Medium
2023,334,0,0,1,0,$13.00 ,1,Limited Data,,,Medium
2023,335,0,0,4,0,$135.00 ,1,A,74,470,Medium
2023,336,2,0,0,0,$36.00 ,0,A,45,900,Medium
2023,337,0,0,4,0,$1.50 ,1,D,11,766,Low
2023,338,0,0,2,0,$58.00 ,1,A,10,350,Medium
2023,339,0,0,3,0,$89.00 ,1,B,24,422,Medium
2023,340,0,0,4,0,$31.00 ,1,B,18,304,High
2023,341,2,0,0,0,$44.00 ,1,B,12,930,High
2023,342,0,0,7,0,$46.14 ,2,D,4,448,Medium
2023,343,2,0,0,0,$57.00 ,1,A,33,718,Medium
2023,344,1,0,0,0,$107.00 ,1,C,1,934,Medium
2023,345,3,0,0,0,$51.00 ,1,B,1,569,Low
2023,346,2,0,0,0,$110.00 ,1,D,1,429,Medium
2023,347,2,0,0,0,$39.00 ,1,C,79,875,Medium
2023,348,1,0,0,0,$85.00 ,1,B,7,449,Low
2023,349,5,0,0,0,$77.95 ,1,C,11,519,Medium
2023,350,3,0,0,0,$177.00 ,1,A,12,488,High
2023,351,2,0,0,0,$28.00 ,1,D,2,859,Low
2023,352,0,4,0,0,$37.67 ,1,A,45,333,High
2023,353,1,0,0,0,$47.00 ,1,E,79,931,Low
2023,354,0,0,2,0,$91.00 ,1,C,10,272,Medium
2023,355,4,0,0,0,$10.00 ,1,A,193,493,Low
2023,356,2,0,0,0,$7.00 ,1,Limited Data,90,,Low
2023,357,0,0,3,0,$40.33 ,1,B,3,667,High
2023,358,0,0,2,0,$54.00 ,0,A,12,396,High
2023,359,3,0,0,0,$129.00 ,1,B,2,339,High
2023,360,0,0,2,0,$18.00 ,1,A,6,372,High
2023,361,2,0,0,0,$75.00 ,1,D,9,941,Medium
2023,362,0,0,1,0,$50.00 ,1,B,70,484,High
2023,363,3,0,0,0,$25.00 ,1,A,101,645,High
2023,364,0,0,2,0,$67.00 ,0,A,12,786,Low
2023,365,2,0,0,0,$152.00 ,1,A,101,411,High
2023,366,2,0,0,0,$49.00 ,1,G,33,350,Medium
2023,367,0,0,2,0,$96.00 ,1,D,8,874,Medium
2023,368,2,0,2,0,$140.50 ,2,A,3,532,Low
2023,369,2,0,0,0,$336.00 ,1,B,12,523,Medium
2023,370,2,0,0,0,$117.00 ,0,A,3,866,Medium
2023,371,8,0,50,0,$22.41 ,3,F,9,323,Medium
2023,372,4,0,0,0,$119.00 ,1,D,128,458,Medium
2023,373,2,0,0,0,$92.00 ,1,A,4,953,High
2023,374,0,0,2,0,$1.00 ,0,B,4,614,Low
2023,375,0,0,2,0,$118.00 ,1,B,19,457,High
2023,376,2,0,0,0,$119.00 ,1,A,14,321,Medium
2023,377,1,0,0,0,$78.00 ,1,D,309,459,Medium
2023,378,2,0,0,0,$33.00 ,1,C,4,319,Low
2023,379,2,0,0,0,$257.17 ,1,Limited Data,,,Low
2023,380,2,0,0,0,$76.00 ,1,Limited Data,64,,Medium
2023,381,3,0,0,0,$98.00 ,1,A,208,415,High
2023,382,0,0,4,0,$8.00 ,1,A,9,241,Medium
2023,383,0,20,0,0,$82.80 ,8,D,68,456,Low
2023,384,0,0,3,0,$18.00 ,1,A,33,369,Low
2023,385,0,0,1,0,$15.00 ,0,A,88,253,High
2023,386,0,0,5,0,$88.00 ,0,B,3,330,Low
2023,387,2,0,0,0,$121.00 ,1,A,7,550,Medium
2023,388,2,0,0,0,$60.00 ,1,D,17,769,Medium
2023,389,1,0,0,0,$39.00 ,1,B,69,550,High
2023,390,2,0,0,0,$205.00 ,1,G,56,927,Medium
2023,391,0,20,0,0,$142.70 ,9,F,6,917,Low
2023,392,1,0,0,0,$161.00 ,1,D,20,604,High
2023,393,1,0,0,0,$88.00 ,1,B,1458,920,Medium
2023,394,0,0,5,0,$81.00 ,1,B,4,566,Medium
2023,395,0,0,4,0,$88.00 ,1,B,13,547,Medium
2023,396,5,0,0,0,$71.61 ,1,A,17,610,Medium
2023,397,2,0,0,0,$55.00 ,1,D,13,902,Medium
2023,398,0,0,2,0,$53.00 ,1,A,9,852,Medium
2023,399,2,0,0,0,$83.34 ,1,E,2,358,Medium
2023,400,0,0,2,0,$44.00 ,1,B,11,396,Medium
2023,401,2,0,0,0,$69.00 ,1,D,9,636,Low
2023,402,3,0,0,0,$109.00 ,1,D,100,749,Medium
2023,403,4,0,0,0,$42.00 ,1,A,26,932,Medium
2023,404,4,0,0,0,$69.00 ,1,A,10,359,Medium
2023,405,4,0,0,0,$136.00 ,1,D,18,347,Medium
2023,406,0,0,2,0,$16.00 ,1,A,58,326,Medium
2023,407,2,0,0,0,$90.00 ,1,A,28,856,Medium
2023,408,2,0,0,0,$16.00 ,1,A,68,371,Medium
2023,409,0,0,0,0,$323.00 ,1,D,36,691,Medium
2023,410,1,0,0,0,$108.00 ,1,E,13,916,Medium
2023,411,0,0,4,0,$10.00 ,1,B,6,568,High
2023,412,2,0,0,0,$26.00 ,1,B,68,644,Medium
2023,413,4,0,0,0,$8.00 ,1,A,3,926,High
2023,414,2,0,0,0,$106.00 ,1,D,70,436,High
2023,415,2,0,0,0,$78.00 ,1,C,858,928,Medium
2023,416,0,0,3,0,$50.33 ,1,A,40,262,Medium
2023,417,0,0,3,0,$116.00 ,1,A,30,195,Medium
2023,418,3,0,0,0,$52.00 ,1,A,74,563,High
2023,419,0,0,4,0,$71.00 ,1,B,4,585,Medium
2023,420,3,0,0,0,$1.00 ,1,A,47,387,Low
2023,421,0,0,6,0,$12.00 ,1,B,45,657,Medium
2023,422,4,0,0,0,$17.00 ,1,B,124,898,Medium
2023,423,2,0,0,0,$91.00 ,1,A,92,563,Medium
2023,424,5,0,0,0,$73.40 ,2,B,58,709,High
2023,425,0,0,2,0,$80.00 ,1,D,6,289,Low
2023,426,0,0,2,0,$1.00 ,0,B,22,370,Low
2023,427,2,0,0,0,$83.00 ,1,B,102,935,Low
2023,428,2,0,0,0,$47.00 ,1,A,10,870,Medium
2023,429,4,0,0,0,$90.00 ,1,D,10,866,Medium
2023,430,3,0,0,0,$64.00 ,1,C,8,370,Medium
2023,431,4,0,0,0,$296.00 ,1,A,67,885,Medium
2023,432,0,0,8,0,$33.00 ,1,D,38,432,Low
2023,433,3,0,0,0,$144.00 ,1,D,55,497,High
2023,434,3,0,0,0,$98.00 ,1,Limited Data,133,927,Medium
2023,435,0,0,4,0,$7.00 ,0,C,21,363,Low
2023,436,0,0,3,0,$83.00 ,1,A,7,768,Low
2023,437,3,0,0,0,$19.00 ,1,B,6,515,Medium
2023,438,0,0,3,0,$67.00 ,1,E,74,600,High
2023,439,1,0,0,0,$170.00 ,1,D,74,898,Low
