Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,SumGamesAttended,TotNumTicketsPurchased,AvgSpend_norm,SocialMediaEngagement_norm,DistanceToArena_norm,BasketballPropensity_norm
2023,33,3,0,0,112.53,1,A,48.0,406.0,Low,1,3,0.03413102820746133,0.33,0.5,0.406
2023,34,0,0,3,71.0,1,B,4.0,335.0,Medium,2,5,0.021534728541097968,0.67,1.0,0.335
2023,35,0,0,2,24.0,1,B,12.0,372.0,High,1,2,0.007279344858962694,1.0,1.0,0.372
2023,36,0,0,4,72.0,0,A,26.0,945.0,Medium,1,4,0.02183803457688808,0.67,0.5,0.945
2023,37,6,0,0,161.33,3,E,4.0,614.0,Low,3,6,0.048932362754018806,0.33,1.0,0.614
2023,38,0,0,2,76.0,1,E,12.0,424.0,Medium,1,2,0.02305125872004853,0.67,1.0,0.424
2023,39,3,0,0,43.0,1,C,75.0,496.0,High,1,3,0.013042159538974826,1.0,0.0,0.496
2023,40,2,0,0,49.0,1,A,58.0,920.0,Low,1,2,0.014861995753715499,0.33,0.0,0.92
2023,41,0,0,2,68.0,1,A,10.0,481.0,High,1,2,0.02062481043372763,1.0,1.0,0.481
2023,42,3,0,0,88.67,1,C,1.0,521.0,High,2,3,0.02689414619350925,1.0,1.0,0.521
2023,43,1,0,0,69.0,1,A,88.0,933.0,High,1,1,0.020928116469517744,1.0,0.0,0.933
2023,44,0,0,4,1.0,1,A,6.0,567.0,High,1,4,0.00030330603579011223,1.0,1.0,0.567
2023,45,2,0,0,67.0,1,B,73.0,724.0,High,1,2,0.02032150439793752,1.0,0.0,0.724
2023,46,2,0,0,78.0,1,A,17.0,867.0,Medium,1,2,0.023657870791628753,0.67,1.0,0.867
2023,47,4,0,0,87.5,2,A,20.0,494.0,Medium,2,4,0.02653927813163482,0.67,0.5,0.494
2023,48,4,0,0,83.0,1,A,6.0,788.0,Low,1,4,0.025174400970579314,0.33,1.0,0.788
2023,49,3,0,0,76.0,1,A,151.0,874.0,Medium,1,3,0.02305125872004853,0.67,0.0,0.874
2023,50,0,0,4,16.0,1,A,451.0,605.0,High,1,4,0.004852896572641796,1.0,0.0,0.605
2023,51,4,0,0,74.0,1,A,10.0,435.0,High,1,4,0.022444646648468305,1.0,1.0,0.435
2023,52,2,0,0,94.0,1,B,29.0,459.0,Medium,1,2,0.02851076736427055,0.67,0.5,0.459
2023,53,2,0,0,23.0,0,E,75.0,489.0,High,1,2,0.006976038823172581,1.0,0.0,0.489
2023,54,0,0,3,77.33,1,D,2.0,512.0,Medium,1,3,0.023454655747649378,0.67,1.0,0.512
2023,55,0,0,0,46.0,0,E,10.0,834.0,Medium,1,2,0.013952077646345162,0.67,1.0,0.834
2023,56,0,50,0,129.0,8,F,33.0,299.0,Low,10,50,0.039126478616924476,0.33,0.5,0.299
2023,57,2,0,0,191.0,1,A,28.0,959.0,Medium,1,2,0.05793145283591143,0.67,0.5,0.959
2023,58,0,0,15,52.0,1,E,8.0,680.0,Medium,1,15,0.015771913861085837,0.67,1.0,0.68
2023,59,0,0,2,21.0,1,B,22.0,580.0,Medium,1,2,0.006369426751592357,0.67,0.5,0.58
2023,60,2,0,0,79.0,0,D,17.0,531.0,Low,3,3,0.023961176827418867,0.33,1.0,0.531
2023,61,3,0,0,99.0,1,D,73.0,370.0,Medium,1,3,0.03002729754322111,0.67,0.0,0.37
2023,62,3,0,0,25.0,1,A,22.0,380.0,Medium,1,3,0.0075826508947528055,0.67,0.5,0.38
2023,63,2,0,0,8.0,1,B,6.0,947.0,High,1,2,0.002426448286320898,1.0,1.0,0.947
2023,64,0,0,4,79.0,1,B,4.0,873.0,High,1,4,0.023961176827418867,1.0,1.0,0.873
2023,65,2,0,0,360.0,1,C,42.0,328.0,Medium,1,2,0.1091901728844404,0.67,0.5,0.328
2023,66,8,0,0,92.0,1,A,2.0,347.0,Low,1,8,0.027904155292690323,0.33,1.0,0.347
2023,67,2,0,0,95.0,1,D,6.0,636.0,Medium,1,2,0.02881407340006066,0.67,1.0,0.636
2023,68,4,0,0,129.25,1,E,2.0,893.0,Medium,1,4,0.03920230512587201,0.67,1.0,0.893
2023,69,2,0,0,188.0,1,A,27.0,924.0,High,1,2,0.0570215347285411,1.0,0.5,0.924
2023,70,0,0,5,81.0,0,E,0.0,917.0,Low,1,5,0.02456778889899909,0.33,1.0,0.917
2023,71,0,0,2,112.0,1,Limited Data,148.74457038579175,683.5054579566774,Medium,1,2,0.03397027600849257,0.67,0.0,0.6835054579566775
2023,72,3,0,0,48.0,1,A,6.0,918.0,Medium,1,3,0.014558689717925387,0.67,1.0,0.918
2023,73,0,0,2,26.0,1,D,9.0,739.0,Medium,2,5,0.007885956930542918,0.67,1.0,0.739
2023,74,0,0,2,11.0,1,A,6.0,331.0,Medium,1,2,0.0033363663936912345,0.67,1.0,0.331
2023,75,2,0,0,132.0,1,B,169.0,630.0,Medium,1,2,0.040036396724294813,0.67,0.0,0.63
2023,76,4,0,0,86.0,1,A,34.0,506.0,Medium,2,7,0.026084319077949652,0.67,0.5,0.506
2023,77,0,0,0,8.0,1,D,2.0,501.0,Medium,2,4,0.002426448286320898,0.67,1.0,0.501
2023,78,0,0,6,81.0,1,A,81.0,544.0,Medium,1,6,0.02456778889899909,0.67,0.0,0.544
2023,79,2,0,0,75.0,0,E,2.0,525.0,Medium,2,5,0.022747952684258416,0.67,1.0,0.525
2023,80,0,0,5,86.0,1,A,132.0,509.0,Low,1,5,0.026084319077949652,0.33,0.0,0.509
2023,81,4,0,0,41.0,1,D,7.0,283.0,Medium,2,8,0.0124355474673946,0.67,1.0,0.283
2023,82,3,0,0,54.0,1,B,32.0,806.0,High,1,3,0.01637852593266606,1.0,0.5,0.806
2023,83,2,0,0,188.0,1,A,673.0,909.0,High,1,2,0.0570215347285411,1.0,0.0,0.909
2023,84,1,0,0,44.0,1,A,10.0,724.0,Medium,1,1,0.013345465574764938,0.67,1.0,0.724
2023,85,3,0,0,33.0,1,Limited Data,65.0,493.0,High,1,3,0.010009099181073703,1.0,0.0,0.493
2023,86,10,0,0,111.0,1,F,102.0,780.0,High,1,10,0.03366696997270246,1.0,0.0,0.78
2023,87,2,0,0,118.0,0,B,7.0,868.0,High,1,2,0.03579011222323324,1.0,1.0,0.868
2023,88,0,0,2,44.0,1,A,9.0,660.0,High,1,2,0.013345465574764938,1.0,1.0,0.66
2023,89,0,0,2,120.0,1,C,8.0,198.0,High,1,2,0.036396724294813464,1.0,1.0,0.198
2023,90,2,0,0,73.0,1,B,5.0,707.0,High,1,2,0.022141340612678192,1.0,1.0,0.707
2023,91,6,0,0,5.0,1,A,55.0,342.0,Medium,1,6,0.001516530178950561,0.67,0.0,0.342
2023,92,0,0,4,36.5,1,A,15.0,897.0,High,1,4,0.011070670306339096,1.0,1.0,0.897
2023,93,2,0,0,12.0,1,C,10.0,423.0,Medium,1,2,0.003639672429481347,0.67,1.0,0.423
2023,94,0,0,40,65.0,1,A,91.0,950.0,Low,2,75,0.019714892326357293,0.33,0.0,0.95
2023,95,2,0,0,136.64,1,A,6.0,481.0,High,1,2,0.04144373673036093,1.0,1.0,0.481
2023,96,0,0,4,15.0,2,B,15.0,862.0,Low,2,4,0.004549590536851683,0.33,1.0,0.862
2023,97,3,0,0,80.0,1,C,30.0,542.0,Medium,1,3,0.024264482863208977,0.67,0.5,0.542
2023,98,1,0,0,181.0,1,A,19.0,517.0,Medium,1,1,0.05489839247801031,0.67,1.0,0.517
2023,99,5,0,4,57.89,2,A,17.0,384.0,Low,4,17,0.017558386411889598,0.33,1.0,0.384
2023,100,0,0,4,28.0,1,B,20.0,293.0,High,1,4,0.008492569002123142,1.0,0.5,0.293
2023,101,3,0,0,181.0,1,A,7.0,807.0,Medium,1,3,0.05489839247801031,0.67,1.0,0.807
2023,102,2,0,0,8.03,1,C,633.0,852.0,High,1,2,0.002435547467394601,1.0,0.0,0.852
2023,103,0,0,2,10.0,1,A,15.0,269.0,Medium,1,2,0.003033060357901122,0.67,1.0,0.269
2023,104,1,0,0,49.0,1,A,79.0,945.0,Medium,1,1,0.014861995753715499,0.67,0.0,0.945
2023,105,0,0,2,55.5,1,A,6.0,249.0,Low,1,2,0.01683348498635123,0.33,1.0,0.249
2023,106,4,0,0,4.0,1,E,2.0,607.0,Medium,1,4,0.001213224143160449,0.67,1.0,0.607
2023,107,0,0,4,56.0,1,B,4.0,287.0,Low,1,4,0.016985138004246284,0.33,1.0,0.287
2023,108,0,0,12,151.0,1,B,11.0,633.0,Low,2,14,0.04579921140430695,0.33,1.0,0.633
2023,109,2,0,0,60.0,1,B,454.0,937.0,Medium,1,2,0.018198362147406732,0.67,0.0,0.937
2023,110,0,0,5,13.0,0,B,4.0,594.0,Medium,1,5,0.003942978465271459,0.67,1.0,0.594
2023,111,0,0,0,273.0,2,Limited Data,35.0,472.0,Medium,2,5,0.08280254777070063,0.67,0.5,0.472
2023,112,1,0,0,244.0,1,G,12.0,543.0,Medium,1,1,0.07400667273278738,0.67,1.0,0.543
2023,113,2,0,0,194.06,1,Limited Data,8.0,628.0,Medium,1,2,0.058859569305429175,0.67,1.0,0.628
2023,114,0,20,0,63.9,5,A,10.0,421.0,Medium,10,20,0.01938125568698817,0.67,1.0,0.421
2023,115,2,0,0,80.0,1,A,11.0,923.0,Low,1,2,0.024264482863208977,0.33,1.0,0.923
2023,116,0,0,2,29.0,0,A,45.0,904.0,Low,1,2,0.008795875037913254,0.33,0.5,0.904
2023,117,0,0,2,79.0,1,E,15.0,489.0,High,1,2,0.023961176827418867,1.0,1.0,0.489
2023,118,2,0,0,195.0,1,B,92.0,335.0,Medium,1,2,0.059144676979071886,0.67,0.0,0.335
2023,119,4,0,0,108.0,1,A,8.0,887.0,Low,1,4,0.03275705186533212,0.33,1.0,0.887
2023,120,8,0,0,124.38,1,A,3.0,248.0,High,2,8,0.037725204731574154,1.0,1.0,0.248
2023,121,3,0,0,41.0,1,B,5.0,553.0,Medium,1,3,0.0124355474673946,0.67,1.0,0.553
2023,122,2,0,0,29.97,1,A,4.0,556.0,Medium,1,2,0.009090081892629663,0.67,1.0,0.556
2023,123,3,0,0,56.0,1,A,6.0,637.0,High,1,3,0.016985138004246284,1.0,1.0,0.637
2023,124,0,0,3,80.0,1,D,19.0,905.0,Medium,2,9,0.024264482863208977,0.67,1.0,0.905
2023,125,0,0,0,26.0,0,C,6.0,949.0,Medium,1,2,0.007885956930542918,0.67,1.0,0.949
2023,126,2,0,0,15.0,1,E,4.0,917.0,Low,1,2,0.004549590536851683,0.33,1.0,0.917
2023,127,0,0,12,57.0,1,A,9.0,924.0,High,1,12,0.017288444040036398,1.0,1.0,0.924
2023,128,0,0,2,1.0,1,A,9.0,590.0,Low,1,2,0.00030330603579011223,0.33,1.0,0.59
2023,129,0,0,4,33.0,1,D,79.0,909.0,Medium,1,4,0.010009099181073703,0.67,0.0,0.909
2023,130,1,0,0,153.0,1,F,9.0,952.0,Medium,1,1,0.04640582347588717,0.67,1.0,0.952
2023,131,4,0,0,76.0,1,E,1.0,619.0,High,2,8,0.02305125872004853,1.0,1.0,0.619
2023,132,1,0,0,15.0,1,Limited Data,148.74457038579175,683.5054579566774,Low,1,1,0.004549590536851683,0.33,0.0,0.6835054579566775
2023,133,3,0,0,11.0,1,A,9.0,218.0,Medium,1,3,0.0033363663936912345,0.67,1.0,0.218
2023,134,2,0,0,185.5,1,Limited Data,44.0,683.5054579566774,High,1,4,0.05626326963906582,1.0,0.5,0.6835054579566775
2023,135,0,20,0,166.6,8,F,9.0,726.0,Medium,10,20,0.05053078556263269,0.67,1.0,0.726
2023,136,4,0,0,34.0,1,D,4.0,308.0,Medium,1,4,0.010312405216863815,0.67,1.0,0.308
2023,138,0,0,4,52.0,1,A,23.0,468.0,Low,1,4,0.015771913861085837,0.33,0.5,0.468
2023,139,1,0,0,71.0,1,A,4.0,460.0,Medium,1,1,0.021534728541097968,0.67,1.0,0.46
2023,140,3,0,0,70.0,1,B,6.0,195.0,Low,1,3,0.021231422505307854,0.33,1.0,0.195
2023,141,1,0,0,32.0,1,A,9.0,629.0,High,1,1,0.009705793145283591,1.0,1.0,0.629
2023,142,2,0,0,167.0,1,F,9.0,961.0,Medium,1,2,0.05065210797694874,0.67,1.0,0.961
2023,143,2,0,0,63.53,1,D,6.0,446.0,Medium,1,2,0.01926903245374583,0.67,1.0,0.446
2023,144,5,0,0,159.4,1,G,33.0,929.0,Low,1,5,0.04834698210494389,0.33,0.5,0.929
2023,145,0,0,4,54.0,1,A,6.0,442.0,Medium,1,4,0.01637852593266606,0.67,1.0,0.442
2023,146,0,0,2,72.0,1,C,78.0,521.0,Medium,1,2,0.02183803457688808,0.67,0.0,0.521
2023,147,2,0,0,272.0,1,A,46.0,447.0,High,1,2,0.08249924173491052,1.0,0.5,0.447
2023,148,5,0,0,20.0,1,A,18.0,420.0,Medium,1,5,0.006066120715802244,0.67,1.0,0.42
2023,149,1,0,0,73.0,1,B,15.0,886.0,High,1,1,0.022141340612678192,1.0,1.0,0.886
2023,150,2,0,0,116.0,1,A,70.0,894.0,Low,1,2,0.035183500151653016,0.33,0.0,0.894
2023,151,0,0,2,117.0,1,B,4.0,632.0,High,1,2,0.03548680618744313,1.0,1.0,0.632
2023,152,2,0,0,99.0,1,B,117.0,881.0,Medium,1,2,0.03002729754322111,0.67,0.0,0.881
2023,153,1,0,0,27.0,1,A,738.0,740.0,Low,1,1,0.00818926296633303,0.33,0.0,0.74
2023,154,4,0,0,9.25,0,A,70.0,885.0,Medium,1,4,0.002805580831058538,0.67,0.0,0.885
2023,155,2,0,0,312.0,2,C,243.0,963.0,Medium,2,2,0.09463148316651501,0.67,0.0,0.963
2023,156,0,0,2,128.0,0,A,33.0,406.0,Medium,1,2,0.038823172581134366,0.67,0.5,0.406
2023,157,4,0,0,53.0,2,B,25.0,453.0,Medium,2,4,0.016075219896875947,0.67,0.5,0.453
2023,158,0,0,4,25.0,1,E,10.0,615.0,Medium,1,4,0.0075826508947528055,0.67,1.0,0.615
2023,159,0,0,13,104.0,1,D,83.0,647.0,High,1,13,0.03154382772217167,1.0,0.0,0.647
2023,160,1,0,0,25.0,1,F,64.0,918.0,High,1,1,0.0075826508947528055,1.0,0.0,0.918
2023,161,3,0,0,3.0,1,A,4.0,484.0,Medium,2,7,0.0009099181073703367,0.67,1.0,0.484
2023,162,4,0,0,20.0,1,A,47.0,868.0,Medium,1,4,0.006066120715802244,0.67,0.5,0.868
2023,163,4,0,0,85.0,1,C,1.0,794.0,Medium,1,4,0.025781013042159538,0.67,1.0,0.794
2023,164,2,0,0,42.0,1,A,35.0,871.0,Medium,1,2,0.012738853503184714,0.67,0.5,0.871
2023,165,2,0,0,60.0,1,A,20.0,936.0,Medium,2,2,0.018198362147406732,0.67,0.5,0.936
2023,166,4,0,0,6.0,1,D,82.0,476.0,Medium,1,4,0.0018198362147406734,0.67,0.0,0.476
2023,167,3,0,0,37.0,1,D,13.0,864.0,Low,1,3,0.011222323324234153,0.33,1.0,0.864
2023,168,0,0,0,5.0,1,B,4.0,711.0,Medium,2,4,0.001516530178950561,0.67,1.0,0.711
2023,169,2,0,0,138.0,1,A,73.0,537.0,Low,1,2,0.04185623293903549,0.33,0.0,0.537
2023,170,0,0,50,40.0,1,F,7.0,892.0,Medium,1,50,0.012132241431604488,0.67,1.0,0.892
2023,171,2,0,0,91.0,1,A,86.0,404.0,Medium,1,2,0.027600849256900213,0.67,0.0,0.404
2023,172,0,0,2,19.0,0,A,3.0,898.0,Medium,1,2,0.005762814680012132,0.67,1.0,0.898
2023,173,8,0,0,20.75,1,D,84.0,703.0,Medium,1,8,0.006293600242644829,0.67,0.0,0.703
2023,174,4,0,0,45.0,1,A,12.0,886.0,Medium,1,4,0.01364877161055505,0.67,1.0,0.886
2023,175,0,0,4,128.0,1,C,10.0,694.0,Medium,1,4,0.038823172581134366,0.67,1.0,0.694
2023,177,3,0,0,57.0,1,B,7.0,546.0,High,1,3,0.017288444040036398,1.0,1.0,0.546
2023,178,3,0,0,73.0,1,A,4.0,820.0,High,1,3,0.022141340612678192,1.0,1.0,0.82
2023,179,1,0,0,117.0,1,Limited Data,23.0,504.0,Low,1,1,0.03548680618744313,0.33,0.5,0.504
2023,180,0,0,6,7.0,0,A,8.0,567.0,Medium,1,6,0.0021231422505307855,0.67,1.0,0.567
2023,181,0,0,14,33.0,1,D,11.0,366.0,High,1,14,0.010009099181073703,1.0,1.0,0.366
2023,182,2,0,0,55.0,1,D,2.0,715.0,Medium,1,2,0.01668183196845617,0.67,1.0,0.715
2023,183,0,0,10,137.0,1,F,34.0,713.0,Low,1,10,0.04155292690324537,0.33,0.5,0.713
2023,184,4,0,0,152.0,1,B,4.0,340.0,Low,1,4,0.04610251744009706,0.33,1.0,0.34
2023,185,1,0,0,0.0,1,B,158.0,937.0,Medium,1,1,0.0,0.67,0.0,0.937
2023,186,2,0,0,82.0,1,D,15.0,531.0,Medium,1,2,0.0248710949347892,0.67,1.0,0.531
2023,187,3,0,0,125.0,1,D,77.0,333.0,High,1,3,0.03791325447376403,1.0,0.0,0.333
2023,188,4,0,0,49.0,1,B,13.0,812.0,High,1,4,0.014861995753715499,1.0,1.0,0.812
2023,189,4,0,0,55.0,1,C,3.0,539.0,Medium,1,4,0.01668183196845617,0.67,1.0,0.539
2023,190,0,0,2,45.0,1,E,2.0,373.0,Medium,1,2,0.01364877161055505,0.67,1.0,0.373
2023,191,2,0,0,73.0,1,A,29.0,442.0,Low,1,2,0.022141340612678192,0.33,0.5,0.442
2023,192,0,45,0,81.56,8,G,7.0,413.0,Medium,21,65,0.024737640279041552,0.67,1.0,0.413
2023,193,2,0,0,14.55,1,A,2.0,469.0,Medium,2,4,0.004413102820746133,0.67,1.0,0.469
2023,194,0,0,0,12.0,1,D,6.0,373.0,Medium,1,4,0.003639672429481347,0.67,1.0,0.373
2023,195,2,0,0,80.0,1,B,3.0,285.0,High,1,2,0.024264482863208977,1.0,1.0,0.285
2023,196,0,0,1,21.0,0,A,6.0,448.0,High,1,1,0.006369426751592357,1.0,1.0,0.448
2023,197,1,0,0,122.0,1,A,103.0,937.0,High,1,1,0.03700333636639369,1.0,0.0,0.937
2023,198,4,0,0,100.0,1,C,1.0,878.0,High,1,4,0.030330603579011222,1.0,1.0,0.878
2023,199,0,0,6,56.0,1,F,81.0,963.0,Medium,1,6,0.016985138004246284,0.67,0.0,0.963
2023,200,2,0,0,10.0,1,D,22.0,251.0,Low,1,2,0.003033060357901122,0.33,0.5,0.251
2023,201,0,0,6,146.33,2,D,78.0,912.0,High,2,6,0.044382772217167125,1.0,0.0,0.912
2023,202,5,0,0,140.0,1,D,28.0,931.0,High,1,5,0.04246284501061571,1.0,0.5,0.931
2023,203,3,0,0,26.0,1,C,1226.0,930.0,Low,1,3,0.007885956930542918,0.33,0.0,0.93
2023,204,2,0,0,62.0,1,B,68.0,863.0,Medium,1,2,0.01880497421898696,0.67,0.0,0.863
2023,205,0,0,2,33.0,0,A,2.0,932.0,Medium,1,2,0.010009099181073703,0.67,1.0,0.932
2023,206,1,0,0,42.0,1,D,13.0,898.0,Medium,1,1,0.012738853503184714,0.67,1.0,0.898
2023,207,0,0,5,45.0,1,A,15.0,414.0,Low,1,5,0.01364877161055505,0.33,1.0,0.414
2023,208,0,0,3,25.67,1,A,60.0,277.0,Medium,2,5,0.007785865938732182,0.67,0.0,0.277
2023,209,0,0,4,17.25,1,C,6.0,432.0,Low,1,4,0.005232029117379436,0.33,1.0,0.432
2023,210,4,0,0,56.0,1,A,145.0,440.0,High,1,4,0.016985138004246284,1.0,0.0,0.44
2023,211,0,0,3,75.0,1,A,2.0,313.0,Low,1,3,0.022747952684258416,0.33,1.0,0.313
2023,212,2,0,0,29.0,1,A,47.0,441.0,Low,1,2,0.008795875037913254,0.33,0.5,0.441
2023,213,1,0,0,9.16,1,D,7.0,851.0,Medium,1,1,0.002778283287837428,0.67,1.0,0.851
2023,214,2,0,0,20.0,1,F,33.0,940.0,High,1,2,0.006066120715802244,1.0,0.5,0.94
2023,215,3,0,0,272.0,1,D,7.0,705.0,Low,1,3,0.08249924173491052,0.33,1.0,0.705
2023,216,4,0,0,65.0,2,A,8.0,750.0,Low,3,6,0.019714892326357293,0.33,1.0,0.75
2023,217,3,0,0,22.0,0,D,3.0,475.0,Medium,1,3,0.006672732787382469,0.67,1.0,0.475
2023,218,1,0,0,74.0,0,B,62.0,329.0,Medium,1,1,0.022444646648468305,0.67,0.0,0.329
2023,219,0,0,1,105.0,0,A,5.0,316.0,High,1,1,0.03184713375796178,1.0,1.0,0.316
2023,220,4,0,0,15.0,0,D,1.0,271.0,Medium,1,4,0.004549590536851683,0.67,1.0,0.271
2023,221,0,0,3,33.0,1,D,4.0,767.0,Medium,1,3,0.010009099181073703,0.67,1.0,0.767
2023,222,0,0,5,51.0,1,B,6.0,532.0,High,1,5,0.015468607825295723,1.0,1.0,0.532
2023,223,2,0,0,44.0,1,A,27.0,828.0,Medium,1,2,0.013345465574764938,0.67,0.5,0.828
2023,224,0,0,2,76.0,1,D,4.0,395.0,Low,1,2,0.02305125872004853,0.33,1.0,0.395
2023,225,4,0,0,68.0,1,C,10.0,277.0,Low,1,4,0.02062481043372763,0.33,1.0,0.277
2023,226,0,0,2,24.0,1,Limited Data,20.0,598.0,High,1,2,0.007279344858962694,1.0,0.5,0.598
2023,227,3,0,0,46.0,1,A,74.0,567.0,High,2,6,0.013952077646345162,1.0,0.0,0.567
2023,228,3,0,0,87.0,1,A,6.0,297.0,Medium,1,3,0.026387625113739762,0.67,1.0,0.297
2023,229,3,0,0,80.0,1,E,49.0,937.0,Medium,1,3,0.024264482863208977,0.67,0.5,0.937
2023,230,0,0,3,7.0,1,A,4.0,561.0,Low,1,3,0.0021231422505307855,0.33,1.0,0.561
2023,231,2,0,0,110.0,1,D,15.0,513.0,Low,1,2,0.03336366393691234,0.33,1.0,0.513
2023,232,0,0,2,134.0,1,A,9.0,200.0,Medium,1,2,0.04064300879587504,0.67,1.0,0.2
2023,233,1,0,0,14.0,1,C,19.0,905.0,Medium,1,1,0.004246284501061571,0.67,1.0,0.905
2023,234,0,0,0,37.0,0,A,6.0,967.0,Low,1,3,0.011222323324234153,0.33,1.0,0.967
2023,235,0,0,3,33.0,1,B,33.0,893.0,Low,1,3,0.010009099181073703,0.33,0.5,0.893
2023,236,0,0,4,64.0,1,E,81.0,759.0,Low,1,4,0.019411586290567183,0.33,0.0,0.759
2023,237,2,0,0,153.0,1,E,4.0,933.0,Low,1,2,0.04640582347588717,0.33,1.0,0.933
2023,238,2,0,0,233.0,1,A,12.0,274.0,High,1,2,0.07067030633909614,1.0,1.0,0.274
2023,239,0,0,5,75.0,1,D,34.0,675.0,Medium,1,5,0.022747952684258416,0.67,0.5,0.675
2023,240,2,0,0,130.0,1,B,29.0,216.0,Medium,1,2,0.039429784652714586,0.67,0.5,0.216
2023,241,2,0,0,83.0,1,D,6.0,397.0,High,1,2,0.025174400970579314,1.0,1.0,0.397
2023,242,0,0,2,5.0,1,A,34.0,548.0,Medium,1,2,0.001516530178950561,0.67,0.5,0.548
2023,243,8,0,0,30.13,1,A,65.0,411.0,Medium,1,8,0.00913861085835608,0.67,0.0,0.411
2023,244,2,0,0,80.0,0,A,26.0,322.0,High,1,2,0.024264482863208977,1.0,0.5,0.322
2023,245,2,0,0,42.0,1,E,6.0,951.0,Medium,1,2,0.012738853503184714,0.67,1.0,0.951
2023,246,0,20,0,92.7,8,A,12.0,507.0,Medium,20,40,0.028116469517743405,0.67,1.0,0.507
2023,247,0,0,4,116.0,1,A,35.0,332.0,Low,1,4,0.035183500151653016,0.33,0.5,0.332
2023,248,0,0,4,119.0,1,B,95.0,530.0,High,1,4,0.036093418259023353,1.0,0.0,0.53
